,album_release_date,album_type,album_name,track_explicit,track_track,track_name,track_id,playlist_id,multiple_artists,Artist_1,Artist_2,Artist_3,Artist_4,Artist_5,new_track_name,lyrics,g_full_titles,g_artists,playlist_name,g_title,title_match_score,title_pass_fail,cleaned_lyrics,cmu_explicit,cmu_explicit_words,cmu_explicit_word_count,yt_explicit,yt_explicit_words,yt_explicit_word_count
0,1958-03-21,album,Elvis' Golden Records,False,True,Don't Be Cruel,01u6AEzGbGbQyYVdxajxqk,37i9dQZF1DWSV3Tk4GO2fq,False,Elvis Presley,,,,,Don't Be Cruel,"You know I can be found Sitting home all alone If you can't come around At least please telephone Don't be cruel to a heart that's true  Baby, if I made you mad For something I might have said Please, let's forget the past The future looks bright ahead Don't be cruel to a heart that's true I don't want no other love Baby, it's just you I'm thinking of  Don't stop thinking of me Don't make me feel this way C'mon over here and love me You know what I want you to say Don't be cruel to a heart that's true Why should we be apart? I really love you, baby, cross my heart  Let's walk up to the preacher And let us say ""I do"" Then you'll know you'll have me And I'll know that I'll have you Don't be cruel to a heart that's true I don't want no other love Baby, it's just you I'm thinking of Don't be cruel to a heart that's true Don't be cruel to a heart that's true I don't want no other love Baby, it's just you I'm thinking of9",Don't Be Cruel by Elvis Presley,Elvis Presley,1950s,Don't Be Cruel,100,pass,"['', 'come', 'made', 'bright', 'preacher', 'past', 'apart', 'feel', 'least', 'mad', 'of9', 'love', 'future', 'us', 'say', 'know', 'way', 'let', 'stop', 'heart', 'true', 'something', 'alone', 'please', 'said', 'make', 'walk', 'looks', 'really', 'found', 'cross', 'telephone', 'around', 'ahead', 'baby', 'thinking', 'cruel', 'sitting', 'might', 'cannot', 'cmon', 'forget', 'want', 'home']","[set(), 0]",set(),0,"[{'mad'}, 1]",{'mad'},1
1,1956-03,album,Songs For Swingin' Lovers! (Remastered),False,True,I've Got You Under My Skin - Remastered 1998,3aEJMh1cXKEjgh52claxQp,37i9dQZF1DWSV3Tk4GO2fq,False,Frank Sinatra,,,,,I've Got You Under My Skin,"I've got you under my skin I've got you deep in the heart of me So deep in my heart that you're really a part of me I've got you under my skin I tried so not to give in I said to myself, 'this affair never will go so well' But why should I try to resist when, baby, I know so well I've got you under my skin  I'd sacrifice anything, come what might For the sake of having you near In spite of a warning voice that comes in the night And repeats, repeats in my ear  ""Don't you know little fool, you never can win? Use your mentality, wake up to reality"" But each time that I do, just the thought of you Makes me stop before I begin 'Cause I've got you under my skin  I would sacrifice anything, come what might For the sake of having you near In spite of a warning voice that comes in the night And repeats, how it yells in my ear ""Don't you know, little fool, you never can win? Why not use your mentality? Step up, wake up to reality"" But each time I do, just the thought of you Makes me stop just before I begin 'Cause I've got you under my skin Yes, I've got you, under my skin14",I've Got You Under My Skin by Frank Sinatra,Frank Sinatra,1950s,I've Got You Under My Skin,100,pass,"['', 'would', 'come', 'ear', 'skin', 'dont', 'sacrifice', 'warning', 'sake', 'skin14', 'win', 'never', 'try', 'mentality', 'yes', 'deep', 'know', 'reality', 'step', 'well', 'little', 'stop', 'yells', 'got', 'heart', 'give', 'spite', 'fool', 'anything', 'said', 'makes', 'resist', 'begin', 'near', 'really', 'repeats', 'wake', 'comes', 'time', 'part', 'night', 'use', 'thought', 'baby', 'go', 'might', 'affair', 'tried', 'voice']","[set(), 0]",set(),0,"[set(), 0]",set(),0
2,1995-01-01,album,The Best Of The Platters,False,True,Smoke Gets In Your Eyes,307XEC1IUwUs9ojlEFwH7f,37i9dQZF1DWSV3Tk4GO2fq,False,The Platters,,,,,Smoke Gets In Your Eyes,"They asked me how I knew My true love was true I of course replied, something here inside Cannot be denied They said some day you'll find All who love are blind When your heart's on fire, you must realize Smoke gets in your eyes So I chaffed them and I gaily laughed To think they could doubt my love Yet today my love has flown away I am without my love (Without my love) Now laughing friends deride Tears I cannot hide, hide So I smile and say, when a lovely flame dies Smoke gets in your eyes (Smoke gets in your eyes) (Smoke gets in your eyes) Smoke gets in your eyes!4",Smoke Gets in Your Eyes by The Platters,The Platters,1950s,Smoke Gets in Your Eyes,100,pass,"['laughed', 'eyes4', 'lovely', 'realize', 'hide', 'gaily', 'friends', 'love', 'flame', 'denied', 'could', 'say', 'knew', 'without', 'gets', 'eyes', 'dies', 'fire', 'something', 'true', 'today', 'smile', 'said', 'tears', 'smoke', 'deride', 'think', 'laughing', 'asked', 'course', 'replied', 'inside', 'day', 'blind', 'must', 'doubt', 'away', 'yet', 'cannot', 'flown', 'chaffed', 'find', 'hearts']","[set(), 0]",set(),0,"[{'dies', 'fire', 'blind'}, 3]","{'dies', 'fire', 'blind'}",3
3,1959,album,What'd I Say,False,True,"What'd I Say, Pt. 1 & 2",5yQ9iMZXGcr5rlO4hoLsP4,37i9dQZF1DWSV3Tk4GO2fq,False,Ray Charles,,,,,"What'd I Say, Pt. 1 & 2","Hey mama, don't you treat me wrong Come and love your daddy all night long All right now, hey hey, all right See the girl with the diamond ring She knows how to shake that thing All right now now now, hey hey, hey hey Tell your mama, tell your pa I'm gonna send you back to Arkansas Oh yes, ma'am, you don't do right, don't do right Ah, play it, boy When you see me in misery Come on baby, see about me Now yeah, hey hey, all right See the girl with the red dress on She can do the Birdland all night long Yeah yeah, what'd I say? All right  Well, tell me what'd I say, yeah Tell me what'd I say right now Tell me what'd I say Tell me what'd I say right now Tell me what'd I say Tell me what'd I say And I want to know Baby, I want to know right now And I want to know Baby, I want to know right now, yeah And I want to know Baby, I want to know, yeah  Hey, don't quit now! (Come on, honey) Naw, I got, I uh-uh-uh, I'm (stop! stop! we'll do it again) Wait a minute, wait a minute, oh hold it! Hold it! Hold it! Hey (hey) ho (ho) hey (hey) ho (ho) hey (hey) ho (ho) hey One more time (just one more time)  Say it one more time right now (just one more time) Say it one more time now (just one more time) Say it one more time yeah (just one more time) Say it one more time (just one more time) Say it one more time (just one more time)  Hey (hey) ho (ho) hey (hey) ho (ho) hey (hey) ho (ho) hey Ah! Make me feel so good (make me feel so good) Make me feel so good now, yeah (make me feel so good) Woah! Baby (make me feel so good) Make me feel so good yeah (make me feel so good) Make me feel so good (make me feel so good) Make me feel so good yeah (make me feel so good) Ah it's all right (baby it's all right) Said it's all right (baby it's all right) Said it's all right (baby it's all right) Said it's all right (baby it's all right) Said it's all right (baby it's all right) Said it's all right (baby it's all right)  Woah! Shake that thing now (baby shake that thing) Baby, shake that thing right now (baby shake that thing) Baby, shake that thing (baby shake that thing) Baby, shake that thing right now (baby shake that thing) Baby, shake that thing (baby shake that thing) Baby, shake that thing (baby shake that thing)  Woah! I feel all right now yeah (make me feel all right) I feel all right now yeah (make me feel all right) Woah! (make me feel all right) I feel all right (make me feel all right) I feel all right (make me feel all right) I feel all right (make me feel all right)4",What'd I Say (Parts 1 & 2) by Ray Charles,Ray Charles,1950s,What'd I Say (Parts 1 & 2),86,pass,"['', 'arkansas', 'come', 'yeah', 'maam', 'wrong', 'feel', 'love', 'mama', 'going', 'hold', 'yes', 'right4', 'say', 'know', 'well', 'stop', 'minute', 'ah', 'ho', 'got', 'uhuhuh', 'long', 'one', 'ring', 'quit', 'tell', 'oh', 'birdland', 'make', 'see', 'woah', 'said', 'naw', 'treat', 'boy', 'dress', 'daddy', 'hey', 'time', 'night', 'honey', 'play', 'baby', 'good', 'back', 'right', 'red', 'misery', 'thing', 'shake', 'knows', 'girl', 'wait', 'pa', 'send', 'diamond', 'want']","[{'ho'}, 1]",{'ho'},1,"[{'ho'}, 1]",{'ho'},1
4,1996-06-04,album,Ella & Friends,False,True,Dream A Little Dream Of Me,3vFVS2WYHDG4KkWCNecvpn,37i9dQZF1DWSV3Tk4GO2fq,True,Ella Fitzgerald,Louis Armstrong,,,,Dream A Little Dream Of Me,"Stars shining bright above you Night breezes seem to whisper, I love you Birds singin' in the sycamore trees Dream a little dream of me  Say nighty-night and kiss me Just hold me tight and tell me you'll miss me While I'm alone and blue as can be Dream a little dream of me  Stars fading but I linger on dear Still craving your kiss Now I'm longin' to linger till dawn dear Just saying this  Sweet dreams till sunbeams find you Sweet dreams that leave all worries behind you But in your dreams whatever they be Dream a little dream of me  Stars fading but I linger on dear Still craving your kiss I'm longin' to linger till dawn dear Just saying this Sweet dreams till sunbeams find you Leave the worries behind you But in your dreams, whatever may be You've gotta make me a promise, promise to me You'll dream, dream a little dream of me12",Dream a Little Dream of Me by Ella Fitzgerald & Louis Armstrong,Ella Fitzgerald & Louis Armstrong,1950s,Dream a Little Dream of Me,100,pass,"['', 'linger', 'dream', 'dawn', 'me12', 'whatever', 'bright', 'blue', 'still', 'behind', 'dear', 'nightynight', 'birds', 'love', 'hold', 'say', 'singin', 'whisper', 'shining', 'may', 'little', 'miss', 'craving', 'till', 'dreams', 'got', 'saying', 'trees', 'alone', 'tell', 'sweet', 'stars', 'make', 'worries', 'kiss', 'sycamore', 'night', 'promise', 'tight', 'fading', 'sunbeams', 'leave', 'seem', 'breezes', 'longin', 'find']","[set(), 0]",set(),0,"[set(), 0]",set(),0
5,1958-06-01,album,That'll Be The Day,False,True,That'll Be The Day,50RwvvEKX5Q7AZt8FTAwIF,37i9dQZF1DWSV3Tk4GO2fq,False,Buddy Holly,,,,,That'll Be The Day,"Well, that'll be the day, when you say goodbye Yes, that'll be the day, when you make me cry You say you're going to leave, you know it's a lie Because that'll be the day when I die  Well, you give me all your lovin' and your turtle dovin' All your hugs and kisses and your money too Well, you know you love me baby Until you tell me, maybe That someday, well I'll be through  Well, that'll be the day, when you say goodbye Yes, that'll be the day, when you make me cry You say you're going to leave, you know it's a lie Because that'll be the day when I die Well, that'll be the day, when you say goodbye Yes, that'll be the day, when you make me cry You say you're going to leave, you know it's a lie Because that'll be the day when I die  Well, when Cupid shot his dart He shot it at your heart So if we ever part and I leave you You sit and hold me and you tell me boldly That someday, well I'll be blue Well, that'll be the day, when you say goodbye Yes, that'll be the day, when you make me cry You say you're going to leave, you know it's a lie Because that'll be the day when I die  Well, that'll be the day, hoo-hoo That'll be the day, hoo-hoo That'll be the day, hoo-hoo That'll be the day4",That’ll Be the Day by Buddy Holly,Buddy Holly,1950s,That’ll Be the Day,94,pass,"['', 'ever', 'boldly', 'kisses', 'die', 'hugs', 'dovin', 'blue', 'love', 'goodbye', 'going', 'sit', 'yes', 'hold', 'say', 'know', 'hoohoo', 'well', 'turtle', 'someday', 'lie', 'day4', 'shot', 'heart', 'give', 'tell', 'lovin', 'make', 'money', 'maybe', 'cupid', 'part', 'baby', 'day', 'dart', 'leave', 'cry']","[set(), 0]",set(),0,"[{'die'}, 1]",{'die'},1
6,1959-01-01,album,Fats Domino Swings,False,True,Blueberry Hill,06PdA0DLgF4BfAeUNZAbFG,37i9dQZF1DWSV3Tk4GO2fq,False,Fats Domino,,,,,Blueberry Hill,"I found my thrill on Blueberry Hill On Blueberry Hill, when I found you  The moon stood still on Blueberry Hill And lingered until my dream came true  The wind in the willow played Love's sweet melody But all of those vows you made Were never to be  Though we're apart, you're part of me still For you were my thrill on Blueberry Hill  The wind in the willow played Love's sweet melody But all of those vows you made Were only to be  Though we're apart, you're part of me still For you were my thrill on Blueberry Hill1",Blueberry Hill by Fats Domino,Fats Domino,1950s,Blueberry Hill,100,pass,"['thrill', '', 'dream', 'hill', 'made', 'came', 'still', 'apart', 'played', 'blueberry', 'never', 'moon', 'wind', 'true', 'though', 'loves', 'sweet', 'lingered', 'melody', 'found', 'part', 'stood', 'willow', 'hill1', 'vows']","[set(), 0]",set(),0,"[set(), 0]",set(),0
7,2012-06-14,album,Top 100 Hits - Rock And Roll,False,True,(‘Til) I Kissed You,1vVY5vd4kowd70TdTuEjfV,37i9dQZF1DWSV3Tk4GO2fq,False,The Everly Brothers,,,,,I Kissed You,"How did I exist until I kissed ya' Never had you on my mind Now you're there all the time Never knew what I missed till I kissed ya', uh huh I kissed ya', oh yeah Things have really changed since I kissed ya', uh huh My life's not the same now that I kissed ya', oh yeah Mmm, you got a way about ya' Now i can't live without ya' Never knew what I missed till I kissed ya', uh huh I kissed ya', oh yeah You don't realize what you do to me And I'll didn't realized what a kiss could be Mmm, you got a way about ya' Now I can't live without ya' Never knew what I missed till I kissed ya', uh huh I kissed ya', oh yeah You don't realize what you do to me And I'll didn't realized what a kiss could be Mmm, You got a way about ya' Now I can't live without ya' Never knew what I missed till I kissed ya', uh huh I kissed ya', oh yeah I kissed ya', uh huh I kissed ya', oh yeah I kissed ya', uh huh...",I Kissed You by ​The Everly Brothers,​The Everly Brothers,1950s,I Kissed You,100,pass,"['huh', 'yeah', 'realize', 'live', 'missed', 'ya', 'uh', 'never', 'realized', 'could', 'knew', 'without', 'since', 'way', 'till', 'got', 'oh', 'kissed', 'really', 'kiss', 'time', 'exist', 'mind', 'cannot', 'mmm', 'things', 'changed', 'lifes']","[set(), 0]",set(),0,"[set(), 0]",set(),0
8,1989-01-01,album,The Capitol Years,False,True,That's Amore,3x6wVKXfCm85Pw7gYo0rqq,37i9dQZF1DWSV3Tk4GO2fq,True,Dean Martin,Dick Stabile And His Orchestra,,,,That's Amore,"(In Napoli where love is king) (When boy meets girl) (Here's what they say)  When the moon hits your eye Like a big pizza pie, that's amore When the world seems to shine Like you've had too much wine, that's amore  Bells will ring, ting-a-ling-a-ling Ting-a-ling-a-ling and you'll sing, ""Vita bella"" Hearts will play tippy-tippy-tay Tippy-tippy-tay like a gay tarantella  When the stars make you drool Just like a pasta e fasule, that's amore When you dance down the street With a cloud at your feet, you're in love When you walk in a dream But you know, you're not dreaming, signore Scusami, but you see Back in old Napoli, that's amore (When the moon hits your eye) (Like a big pizza pie, that's amore) That's amore (When the world seems to shine) (Like you've had too much wine, that's amore) That's amore  (Bells will ring ting-a-ling-a-ling) (Ting-a-ling-a-ling and you'll sing, ""Vita bella, vita bella, vita bella"") (Hearts will play tippy-tippy-tay) (Tippy-tippy-tay like a gay tarantella) Lucky fella  When the stars make you drool Just like a pasta e fasule, that's amore (That's amore) When you dance down the street With a cloud at your feet, you're in love When you walk in a dream But you know, you're not dreaming, signore Scusami, but you see Back in old Napoli, that's amore  (Amore) That's amore7",That's Amore by Dean Martin,Dean Martin,1950s,That's Amore,100,pass,"['', 'dream', 'pasta', 'gay', 'like', 'tarantella', 'eye', 'much', 'bells', 'seems', 'fella', 'thats', 'napoli', 'shine', 'bella', 'love', 'moon', 'e', 'say', 'wine', 'know', 'heres', 'pie', 'street', 'meets', 'pizza', 'big', 'ring', 'lucky', 'stars', 'make', 'see', 'walk', 'boy', 'old', 'sing', 'dance', 'scusami', 'hits', 'signore', 'play', 'vita', 'drool', 'king', 'tingalingaling', 'amore', 'world', 'tippytippytay', 'fasule', 'back', 'amore7', 'cloud', 'girl', 'dreaming', 'feet', 'hearts']","[set(), 0]",set(),0,"[{'gay'}, 1]",{'gay'},1
9,2011-01-01,album,Mad Men: A Musical Companion (1960-1965),False,True,Baby (You've Got What It Takes),3iskX6pzPZOyUNoVCQ7oMz,37i9dQZF1DWSV3Tk4GO2fq,True,Dinah Washington,Brook Benton,,,,Baby,"I've got a man who's always late Any time we have a date But I love him Yes, I love him I'm gonna walk up to his gate See if I can get this thing straight 'Cause I want him And I'm gonna have him Say is you is, or is you ain't my baby The way you're acting lately makes me doubt Youse is still my baby, baby It seems my flame in your heart's done gone out A man is a creature That has always been strange Just when you're sure of one You'll find he's gone and made a change Now, is you is or is you ain't my baby Maybe baby's found somebody new Or is my baby still my baby true Now, is you is or is you ain't my baby Maybe baby's found somebody new Or is my baby still my baby true I guess my baby's found somebody new And I'd better get right up and go out and find me somebody, too I said I'm gonna find me somebody, too",Is You Is or Is You Ain't My Baby by Dinah Washington,Dinah Washington,1950s,Is You Is or Is You Ain't My Baby,22,fail,"['acting', 'would', 'made', 'seems', 'still', 'guess', 'creature', 'always', 'better', 'change', 'love', 'going', 'flame', 'yes', 'say', 'sure', 'way', 'somebody', 'strange', 'done', 'got', 'true', 'late', 'one', 'said', 'see', 'walk', 'date', 'lately', 'babys', 'gone', 'found', 'youse', 'time', 'maybe', 'baby', 'go', 'man', 'straight', 'gate', 'doubt', 'right', 'thing', 'new', 'get', 'makes', 'find', 'want', 'hearts']","[set(), 0]",set(),0,"[set(), 0]",set(),0
